연번,기관명,급여종류,설립구분,지정일자,기관주소,기관전화번호,팩스 번호,데이터기준일자
1,강북햇살데이케어센터,"방문요양,주야간보호",개인,2017-11-15,"서울특별시 강북구 삼양로 438 (수유동, 한일빌딩 2층)",02-994-7247,02-994-7248,2024-07-21
2,(A+)춤추는고래재가복지센터,방문요양,개인,2024-08-01,"서울특별시 강북구 노해로11길 42, 2층 (수유동)",02-000-0000,050-4225-2269,2024-07-21
3,(주)실버웨이복지법인 강북노인복지센터,주야간보호,법인,2021-04-22,"서울특별시 강북구 도봉로 144, 3,6층 (미아동)",02-1600-2873,070-4457-3431,2024-07-21
4,(주)휴복지법인 주간보호센터,주야간보호,법인,2021-12-01,"서울특별시 강북구 4.19로13길 3, 2,3층 (수유동)",02-908-9865,02-908-9864,2024-07-21
5,가인노인재가복지센터,방문요양,개인,2022-12-01,"서울특별시 강북구 노해로19길 12-11, 1층 (수유동)",02-995-2333,02-995-2334,2024-07-21
6,가족같은재가복지센터,"방문요양,방문목욕",개인,2022-03-29,"서울특별시 강북구 도봉로53길 48, 3층 1호 (미아동)",02-984-0101,02-6081-9191,2024-07-21
7,가족사랑방문요양복지센터,"방문요양,방문목욕",개인,2020-11-24,"서울특별시 강북구 인수봉로 198, 1층 (수유동)",02-903-4677,02-903-4678,2024-07-21
8,가족사랑방문요양재가센터,"방문요양,방문목욕",개인,2024-06-01,"서울특별시 강북구 인수봉로72길 42, 108호 (수유동)",02-993-4677,02-993-4678,2024-07-21
9,갓사랑노인재가복지센터,"방문요양,방문목욕",개인,2019-12-11,"서울특별시 강북구 삼양로32나길 19, 103호 (미아동)",02-991-5004,02-991-5003,2024-07-21
10,강북 효사랑 재가복지센터,"방문요양,방문목욕",개인,2022-03-29,"서울특별시 강북구 인수봉로56길 30, 1층 (수유동)",02-998-8891,02-998-8892,2024-07-21
11,강북THE행복한데이케어센터,"방문요양,주야간보호",개인,2020-03-27,"서울특별시 강북구 삼양로77길 51, 2층 (수유동, 에덴빌딩)",02-989-7421,02-989-7423,2024-07-21
12,강북나눔돌봄센터 살핌,"방문요양,주야간보호",법인,2022-01-01,"서울특별시 강북구 인수봉로42길 27, 2~3층 (수유동)",02-984-1416,070-8280-1416,2024-07-21
13,강북노인복지센터,"방문요양,방문목욕",개인,2008-07-17,서울특별시 강북구 도봉로67길 48-6 (미아동),02-981-5004,02-946-0691,2024-07-21
14,강북방문요양센터,방문요양,개인,2022-10-01,"서울특별시 강북구 솔샘로 289-3, 1층 101호 (미아동)",02-945-1118,02-945-1115,2024-07-21
