연번,동명,경로당명,구분,경로당 전화번호,도로명 주소,데이터기준일자
1,삼양동,경남(아),사립아파트,070-4248-6800,"삼양로74길 8 (미아동, 경남아너스빌) ",2024-06-20
2,삼양동,래미안미아1차(아),사립아파트,02-980-1295,"삼양로 256 (미아동, 삼성래미안)",2024-06-20
3,삼양동,미동,구립,02-982-6760,삼양로74길 74(미아동),2024-06-20
4,삼양동,미송,구립,02-985-2476,인수봉로 42 (미아동),2024-06-20
5,삼양동,미아벽산(아),사립아파트,02-945-6365,"솔샘로 159 (미아동, 벽산라이브파크) ",2024-06-20
6,삼양동,미양할머니,구립,02-984-5212,삼양로35가길 7-4 (미아동),2024-06-20
7,삼양동,삼일,구임차,02-988-2328,삼양로41길 61 (미아동),2024-06-20
8,삼양동,솔샘(아),사립아파트,02-986-1977,"솔샘로 159 (미아동, 벽산라이브파크)",2024-06-20
9,삼양동,실개울,구립,02-988-0235,삼양로47길 37(미아동) 1층,2024-06-20
10,삼양동,은혜,구임차,02-989-9924,삼양로63가길 7-26 (미아동) 스카이팰리스11A 101호,2024-06-20
11,삼양동,청암,구립,02-980-2905,솔매로22길 11 (미아동) ,2024-06-20
12,삼양동,팔팔,구립,02-982-0037,인수봉로 36 (미아동),2024-06-20
13,미아동,미아,구립,02-988-4696,솔매로 147-11 (미아동) ,2024-06-20
14,미아동,미아요진(아),사립아파트,02-985-9691,"도봉로76길 52 (미아동, 미아요진아파트) ",2024-06-20
15,미아동,신일해피트리(아),사립아파트,02-987-0088,"오패산로 60길 22 (미아동, 신일해피트리아파트)",2024-06-20
16,미아동,요한,사립,02-989-2278,"도봉로49길 62 (미아동, 미아3동천주교교회)",2024-06-20
17,미아동,운산,구립,02-989-4953,도봉로72길 14-4 (미아동),2024-06-20
18,미아동,율곡,구립,02-983-0797,오패산로52아길 11 (미아동),2024-06-20
19,미아동,한빛,구립,02-986-8224,솔매로 43길 25 (미아동),2024-06-20
20,미아동,미아현대(아),사립아파트,02-985-4066,"도봉로68길 26(미아동, 미아현대아파트)",2024-06-20
21,송중동,경남아너스빌(아),사립아파트,02-6318-7448,"오패산로30길 30 (미아동, 경남아너스빌아파트)",2024-06-20
22,송중동,구봉,구립,02-986-5823,"오현로9길 97 (미아동, 월드아트빌) 101호",2024-06-20
23,송중동,방천,구립,02-945-6856,월계로7길 39-9 (미아동),2024-06-20
24,송중동,벽오산,구임차,02-985-5655,월계로21나길 30 (미아동) ,2024-06-20
25,송중동,송중,구립,02-982-2475,도봉로34길 25-3 (미아동),2024-06-20
26,송중동,원송,구립,02-981-5925,오패산로 156-3,2024-06-20
27,송중동,한일유앤아이(아),사립아파트,02-982-2456,"월계로21가길 41 (미아동, 미아한일유앤아이) ",2024-06-20
28,송중동,꿈의숲롯데캐슬(아),사립아파트,02-980-2488,"오현로 56 (미아동, 꿈의숲롯데캐슬)",2024-06-20
29,송중동,꿈의숲해링턴플레이스(아),사립아파트,02-981-7776,"오현로 45 (미아동, 꿈의숲해링턴플레이스)",2024-06-20
30,송중동,오패산,구임차,02-988-8881,"오패산로52다길 55 지하층 제2호 (미아동, 범신주택 11동)",2024-06-20
31,송중동,꿈의숲한신더휴,사립아파트,,"오패산로 202 (미아동, 꿈의숲 한신더휴)",2024-06-20
32,송천동,미아동부센트레빌(아),사립아파트,02-982-7711,"숭인로7가길 37 (미아동, 미아 동부센트레빌)",2024-06-20
33,송천동,성우(아),사립아파트,02-988-9855,"삼양로24길 19 (미아동, 현대성우아파트)",2024-06-20
34,송천동,솔샘길,구립,02-980-3037,솔샘로 277-1 (미아동) ,2024-06-20
35,송천동,송암,구임차,02-981-7916,삼양로24길 4-6 (미아동),2024-06-20
36,송천동,송천,구립,02-980-6757,솔샘로60길 18-12 (미아동),2024-06-20
37,송천동,숭인,구립,02-980-2328,삼양로16길 25 (미아동),2024-06-20
38,송천동,큰마을효심,구립,02-986-4325,삼양로54길 60 (미아동) ,2024-06-20
39,삼각산동,삼각산아이원(아),사립아파트,02-989-1356,"삼양로19길 113 (미아동, 삼각산아이원아파트)",2024-06-20
40,송천동,건양,구립,02-989-8288,삼양로38길 8-9 (미아동),2024-06-20
41,삼각산동,삼각산암산(아),사립아파트,02-988-8813,"삼양로19길 113 (미아동, 삼각산아이원아파트)",2024-06-20
