연번,행정동,시설명,도로명주소,위도,경도
1,청운효자동,청운경로당,"서울특별시 종로구 필운대로 86, 1층",37.58350643,126.9674148
2,청운효자동,세종마을경로당,서울특별시 종로구 자하문로11길 33,37.58030732,126.9699596
3,사직동,사직경로당,서울특별시 종로구 사직로9길 15-25,37.5764822,126.9655298
4,삼청동,복정경로당,서울특별시 종로구 삼청로4길 22,37.58238712,126.9821031
5,삼청동,삼청경로당,서울특별시 종로구 삼청로5길 30,37.58303769,126.9802179
6,부암동,부암경로당,서울특별시 종로구 자하문로 260,37.59736182,126.9634586
7,부암동,신영경로당,서울특별시 종로구 세검정로6길 76-19,37.60127567,126.9636046
8,평창동,구기할아버지경로당,서울특별시 종로구 진흥로 438-6,37.60778058,126.9565067
9,평창동,구기할머니경로당,서울특별시 종로구 진흥로 438-8,37.60786557,126.9563373
10,평창동,평창경로당(평창문화센터),서울특별시 종로구 평창문화로 50,37.60542184,126.9669251
11,평창동,금강경로당,서울특별시 종로구 평창24길 18,37.60869207,126.9767193
12,평창동,롯데아파트경로당,서울특별시 종로구 평창문화로 140,37.60888957,126.9754185
13,평창동,삼성아파트경로당,서울특별시 종로구 평창문화로 172,37.61079908,126.9784115
14,무악동,무악경로당,서울특별시 종로구 통일로14길 19,37.57541578,126.9577618
15,무악동,무악제2경로당,서울특별시 종로구 통일로246-11,37.57509668,126.9591269
16,무악동,무악현대아파트경로당,서울특별시 종로구 통일로12길 51,37.57476954,126.9615739
17,무악동,인왕산아이파크경로당,서울특별시 종로구 통일로18길 9,37.57767072,126.9553549
18,무악동,경희궁롯데캐슬아파트경로당,서울특별시 종로구 통일로230,37.57437426,126.9586043
19,교남동,교남경로당,서울특별시 종로구 사직로2길 8,37.57259623,126.9643897
20,교남동,행촌경로당,서울특별시 종로구 인왕산로1길 58,37.575398,126.9630296
21,교남동,경희궁자이1단지경로당,서울특별시 종로구 송월길 130,37.5722356,126.9644965
22,교남동,경희궁자이2단지경로당,서울특별시 종로구 송월길 99,37.5708611,126.9623523
23,교남동,경희궁자이3단지경로당,서울특별시 종로구 경교장길 35,37.56885372,126.9651149
24,가회동,가회경로당,서울특별시 종로구 북촌로 35,37.58005086,126.9847891
25,가회동,북촌경로당,서울특별시 종로구 북촌로 20-27,37.57890673,126.9858863
26,가회동,계원경로당,서울특별시 종로구 창덕궁3가길 6-1,37.58120437,126.9885537
27,가회동,원서경로당,서울특별시 종로구 창덕궁길 94,37.58168054,126.9894399
